fpfx 	fpfy 	fpfz 	fpmx 	fpmy 	fpmz
-755.29 	0.09139185 	-224.62379809 	-102.72967544 	-106.915546608 	-85.432709112
-755.29 	0.09139185 	-224.5351352 	-102.77239252 	-106.82614254 	-85.414393776
-755.29 	0.0456585 	-224.268855832 	-102.72967544 	-106.885761528 	-85.423536456
-755.29 	0.0685626 	-224.180192942 	-102.75103398 	-106.82614254 	-85.469279832
-755.29 	0.13705035 	-224.44647231 	-102.72967544 	-106.79635746 	-85.432709112
-755.29 	0.0685626 	-224.35780942 	-102.68695836 	-106.870868988 	-85.441851792
-755.29 	0.0685626 	-224.71246098 	-102.793821088 	-106.81125 	-85.450994472
-755.29 	0.0685626 	-224.62379809 	-102.75103398 	-106.855976448 	-85.450994472
-755.29 	0.13705035 	-224.80112387 	-102.793821088 	-106.81125 	-85.414393776
-755.29 	0.0685626 	-224.5351352 	-102.815179628 	-106.78146492 	-85.450994472
-755.29 	0.1142211 	-224.62379809 	-102.72967544 	-106.82614254 	-85.469279832
-755.29 	0.20561295 	-224.44647231 	-102.75103398 	-106.82614254 	-85.423536456
-755.29 	0.0 	-224.5351352 	-102.72967544 	-106.81125 	-85.441851792
-755.29 	0.09139185 	-224.71246098 	-102.72967544 	-106.766523552 	-85.460137152
-755.29 	0.1142211 	-224.5351352 	-102.77239252 	-106.84103508 	-85.460137152
-755.29 	0.0685626 	-224.5351352 	-102.793821088 	-106.915546608 	-85.441851792
-755.29 	0.09139185 	-224.5351352 	-102.7083169 	-106.870868988 	-85.450994472
-755.29 	0.02282925 	-224.890077458 	-102.75103398 	-106.84103508 	-85.450994472
-755.29 	0.13705035 	-224.5351352 	-102.815179628 	-106.79635746 	-85.469279832
-755.29 	0.13705035 	-224.62379809 	-102.75103398 	-106.900654068 	-85.441851792
-755.29 	0.13705035 	-224.62379809 	-102.75103398 	-106.82614254 	-85.423536456
-755.29 	0.25127145 	-224.5351352 	-102.815179628 	-106.855976448 	-85.441851792
-755.29 	0.1142211 	-224.71246098 	-102.793821088 	-106.79635746 	-85.432709112
-755.29 	0.0685626 	-224.71246098 	-102.793821088 	-106.84103508 	-85.450994472
-755.29 	0.1142211 	-224.5351352 	-102.793821088 	-106.855976448 	-85.469279832
-755.29 	0.0685626 	-224.35780942 	-102.815179628 	-106.82614254 	-85.405251096
-755.29 	0.1142211 	-224.35780942 	-102.836538168 	-106.81125 	-85.432709112
