ankle 	0
batchtrials 	5
canvascenterx 	635
canvascentery 	483
canvash 	1024
canvasw 	1280
catchtrialsper 	0
centerhome 	4
crobhome 	/home/alaa/crob
cur_ed_cm 	53.8289703417
cur_tar_ed_cm 	39.3857086778
curlgain 	0
curlgainsd 	0
curlposngain 	0
curlposngainsd 	0
curlposntrials 	1 2
curltrials 	1 300
cursor 	7
cursor_rad_cm 	0.4
cursor_rad_cm 	0.4
cursor_x 	635
cursor_y 	483
cursorfdbk 	x_y
curx_px 	1922.5
cury_px 	488.5
dampconst 	0
deadzone 	0
distributionmean 	0
distributionstd 	0
divgain 	0
divtrials 	
experimentername 	Gary
extrarz 	0
failforcesoff 	0.15
failval 	0.15
fieldcurl 	1
fieldcurlposn 	0
fielddiv 	0
fieldjump 	0
fieldvrot 	0
fileid 	OSA_3
folderpath 	/home/alaa/DATA/Gary
fontpref 	 Arial 11 
foundparamfile 	/home/alaa/crob/examples/Gary/massarm/for_both/param_massarm_pref.tcl
ftwx 	1.173451
ftwy 	-5.592031
ftwz 	-21.040183
fx_pre 	-755.29
fy_pre 	0.09139185
fz_pre 	-224.62379809
gforce 	-108.239377
home 	/home/alaa
home 	2
home_boty 	520
home_leftx 	609
home_rad_cm 	1.1
home_rad_cm 	1.1
home_rightx 	661
home_topy 	446
home_x_cm 	0
home_x_cm_cob 	0
home_x_px 	635
home_y_cm 	0
home_y_cm_cob 	0
home_y_px 	483
homepath 	/home/alaa/crob/examples/Gary/massarm/for_both
input 	robot
inputcop 	0
inputmouse 	0
inputrobot 	1
jumpangles 	
jumpcortime 	0
jumpdistances 	
jumpring 	3
jumptime 	0
jumptrials 	
jumptrigdists 	0
kd 	.05
last_rshm_failed 	no
last_start_log_time 	-384358618
lgmenu 	.loadgraphicsmenu
linear 	0
lmenu 	.loadgamemenu
maxmvttime 	10000
menu 	.gamemenu
messagetext1 	9
messagetext2 	10
messagetext3 	11
minmvttime 	1
movingbackforces 	none
movingoutstatecounter 	0
mvtoutback 	0
mvtoutonly 	0
mx_pre 	-102.900613788
my_pre 	-106.870868988
mz_pre 	-85.478422512
ncatchtrials 	0
ncurltrials 	300
ndivtrials 	0
njumptrials 	0
nnulltrials 	100
nvrottrials 	0
overlapping 	7
parametersource 	/home/alaa/crob/examples/Gary/massarm/for_both/param_massarm_pref.tcl
past_x 	0.538607
past_y 	-0.001550
planar 	0
planarhand 	0
planarwrist 	0
prevtriallistloaded_txt 	TrialList Loaded? N/A
prevtriallistsource 	/home/alaa/DATA/loghead*.tcl
requiredtimeinhome 	500
requiredtimeintarget 	500
restct 	0
resttrials 	1000
robot 	1
safetydist 	15
savepath 	/home/alaa/DATA
savetcloff 	1
savetclon 	0
scaling 	1
scaling_cob 	1
screenscale_x 	2392
screenscale_y 	3357
shm 	file8
showing 	1
showscore 	8
soundoff 	0
soundon 	1
startsavestate 	home
stopsavestate 	intertrial
switchtarhome 	1
target 	1
target_rad_cm 	1.4
target_rad_cm 	1.4
target_rad_px 	33.488
target_x_cm 	20
target_x_px 	635
target_y_cm 	20
target_y_px 	483
targetangles 	45 135 225 315
targetdistances 	10 10 10 10
testdate 	09172018
totalscore 	0
totaltrials 	400
totaltrialsval 	400
trainingdot 	0
trainingdoton 	0
trialcounter 	1
trialcounter_good 	1
trialdist 	1000
trialscore 	0
trialtimelimit 	1
trialtypename 	null
trialtypenum 	6
viapt 	5
viapt_rad_cm 	0.1
viapt_ring 	6
viapt_x_cm 	-0
viapt_x_px 	635.0
viapt_y_cm 	0
viapt_y_px 	483.0
vrotangles 	
vrottrials 	
win_center_x 	640
win_center_y 	512
winh 	1024
winw 	1280
wrist 	0
x_px 	1922.582504
y_px 	488.727042

TRIALLIST
trialnumber	batch	batchtrial	targetdistance	targetangle	target_x_cm	target_y_cm	target_x_px	target_y_px	fieldtype	trialtypename	trialtypenum	imtfieldtype	curlgain	dampconst	stiffconst	jumpdistance	jumpangle	jumptrigdist_frac	jumptarget_x_cm	jumptarget_y_cm	jumptarget_x_px	jumptarget_y_px	deadzone
1	1	1	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
2	1	2	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
3	1	3	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
4	1	4	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
5	1	5	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
6	1	6	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
7	1	7	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
8	1	8	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
9	1	9	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
10	1	10	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
11	1	11	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
12	1	12	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
13	1	13	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
14	1	14	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
15	1	15	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
16	1	16	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
17	1	17	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
18	1	18	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
19	1	19	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
20	1	20	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
21	2	1	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
22	2	2	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
23	2	3	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
24	2	4	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
25	2	5	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
26	2	6	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
27	2	7	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
28	2	8	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
29	2	9	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
30	2	10	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
31	2	11	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
32	2	12	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
33	2	13	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
34	2	14	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
35	2	15	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
36	2	16	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
37	2	17	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
38	2	18	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
39	2	19	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
40	2	20	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
41	3	1	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
42	3	2	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
43	3	3	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
44	3	4	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
45	3	5	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
46	3	6	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
47	3	7	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
48	3	8	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
49	3	9	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
50	3	10	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
51	3	11	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
52	3	12	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
53	3	13	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
54	3	14	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
55	3	15	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
56	3	16	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
57	3	17	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
58	3	18	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
59	3	19	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
60	3	20	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
61	4	1	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
62	4	2	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
63	4	3	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
64	4	4	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
65	4	5	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
66	4	6	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
67	4	7	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
68	4	8	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
69	4	9	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
70	4	10	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
71	4	11	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
72	4	12	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
73	4	13	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
74	4	14	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
75	4	15	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
76	4	16	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
77	4	17	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
78	4	18	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
79	4	19	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
80	4	20	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
81	5	1	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
82	5	2	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
83	5	3	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
84	5	4	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
85	5	5	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
86	5	6	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
87	5	7	10	225	-7.07109	-7.07104	465.859	720.375	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
88	5	8	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
89	5	9	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
90	5	10	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
91	5	11	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
92	5	12	10	45	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
93	5	13	10	135	-7.07105	7.07108	465.86	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
94	5	14	10	225	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
95	5	15	10	315	7.07103	-7.0711	804.139	720.377	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
96	5	16	10	315	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
97	5	17	10	45	7.07107	7.07106	804.14	245.624	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
98	5	18	10	135	0	0	635	483	moveboxon	curl	3	3	0	0	0	0	0	0	0	0	0	0	0
