fpfx 	fpfy 	fpfz 	fpmx 	fpmy 	fpmz
-755.29 	0.1598796 	-224.35780942 	-102.72967544 	-106.79635746 	-85.405251096
-755.29 	-0.0685626 	-224.180192942 	-102.77239252 	-106.855976448 	-85.460137152
-755.29 	0.13705035 	-224.268855832 	-102.815179628 	-106.81125 	-85.515023208
-755.29 	0.13705035 	-224.091530052 	-102.815179628 	-106.82614254 	-85.441851792
-755.29 	0.02282925 	-224.180192942 	-102.72967544 	-106.84103508 	-85.460137152
-755.29 	0.09139185 	-224.180192942 	-102.72967544 	-106.79635746 	-85.460137152
-755.29 	0.18270885 	-224.180192942 	-102.815179628 	-106.870868988 	-85.441851792
-755.29 	0.1598796 	-224.44647231 	-102.72967544 	-106.82614254 	-85.469279832
-755.29 	0.09139185 	-223.914204272 	-102.75103398 	-106.82614254 	-85.469279832
-755.29 	0.09139185 	-224.35780942 	-102.77239252 	-106.855976448 	-85.423536456
-755.29 	0.18270885 	-224.268855832 	-102.7083169 	-106.78146492 	-85.487595168
-755.29 	0.0685626 	-224.35780942 	-102.72967544 	-106.82614254 	-85.469279832
-755.29 	0.09139185 	-224.002867162 	-102.922042356 	-106.766523552 	-85.450994472
-755.29 	0.09139185 	-224.268855832 	-102.72967544 	-106.84103508 	-85.487595168
-755.29 	0.0685626 	-224.091530052 	-102.77239252 	-106.855976448 	-85.469279832
-755.29 	0.1142211 	-224.002867162 	-102.72967544 	-106.81125 	-85.441851792
-755.29 	0.25127145 	-224.180192942 	-102.815179628 	-106.84103508 	-85.441851792
-755.29 	0.1598796 	-224.091530052 	-102.72967544 	-106.81125 	-85.469279832
-755.29 	0.18270885 	-224.268855832 	-102.815179628 	-106.81125 	-85.469279832
-755.29 	0.1598796 	-224.180192942 	-102.77239252 	-106.84103508 	-85.460137152
-755.29 	0.0456585 	-224.5351352 	-102.879255248 	-106.82614254 	-85.432709112
-755.29 	0.09139185 	-224.180192942 	-102.72967544 	-106.960273056 	-85.478422512
-755.29 	0.20561295 	-224.180192942 	-102.77239252 	-106.84103508 	-85.423536456
-755.29 	0.13705035 	-224.35780942 	-102.77239252 	-106.81125 	-85.450994472
-755.29 	0.1598796 	-224.35780942 	-102.72967544 	-106.84103508 	-85.441851792
-755.29 	0.1598796 	-224.268855832 	-102.558737092 	-106.79635746 	-85.450994472
-755.29 	0.09139185 	-224.180192942 	-102.72967544 	-106.79635746 	-85.441851792
-755.29 	0.09139185 	-224.35780942 	-102.815179628 	-106.82614254 	-85.441851792
-755.29 	0.0685626 	-224.35780942 	-102.75103398 	-106.84103508 	-85.469279832
-755.29 	0.09139185 	-224.180192942 	-102.75103398 	-106.855976448 	-85.450994472
-755.29 	0.0456585 	-224.268855832 	-102.77239252 	-106.870868988 	-85.432709112
-755.29 	0.0456585 	-224.002867162 	-102.558737092 	-106.82614254 	-85.450994472
-755.29 	0.02282925 	-224.268855832 	-102.77239252 	-106.79635746 	-85.460137152
-755.29 	0.1142211 	-224.268855832 	-102.75103398 	-106.855976448 	-85.460137152
-755.29 	0.0456585 	-224.5351352 	-102.77239252 	-106.82614254 	-85.460137152
-755.29 	0.09139185 	-224.091530052 	-102.77239252 	-106.870868988 	-85.460137152
