fpfx 	fpfy 	fpfz 	fpmx 	fpmy 	fpmz
-755.29 	0.1142211 	-224.180192942 	-102.77239252 	-106.82614254 	-85.423536456
-755.29 	0.0456585 	-224.180192942 	-102.836538168 	-106.82614254 	-85.441851792
-755.29 	0.0456585 	-224.091530052 	-102.815179628 	-106.82614254 	-85.432709112
-755.29 	0.13705035 	-223.736587794 	-102.836538168 	-106.855976448 	-85.469279832
-755.29 	0.13705035 	-224.002867162 	-102.75103398 	-106.84103508 	-85.450994472
-755.29 	0.0685626 	-224.002867162 	-102.836538168 	-106.82614254 	-85.460137152
-755.29 	0.1598796 	-223.825250684 	-102.815179628 	-106.82614254 	-85.450994472
-755.29 	0.0685626 	-224.002867162 	-102.77239252 	-106.79635746 	-85.432709112
-755.29 	0.02282925 	-223.736587794 	-102.815179628 	-106.766523552 	-85.450994472
-755.29 	0.0685626 	-223.647924904 	-102.815179628 	-106.751631012 	-85.450994472
-755.29 	0.13705035 	-223.914204272 	-102.793821088 	-106.84103508 	-85.460137152
-755.29 	0.13705035 	-224.091530052 	-102.815179628 	-106.84103508 	-85.432709112
-755.29 	-0.02282925 	-223.825250684 	-102.793821088 	-106.82614254 	-85.450994472
-755.29 	0.09139185 	-224.002867162 	-102.77239252 	-106.79635746 	-85.441851792
-755.29 	0.1142211 	-224.002867162 	-102.815179628 	-106.82614254 	-85.396108416
-755.29 	0.1142211 	-223.825250684 	-102.77239252 	-106.855976448 	-85.441851792
-755.29 	0.0685626 	-223.914204272 	-102.7083169 	-106.78146492 	-85.478422512
-755.29 	0.0456585 	-223.914204272 	-102.72967544 	-106.82614254 	-85.441851792
-755.29 	0.13705035 	-224.268855832 	-102.857896708 	-106.78146492 	-85.441851792
-755.29 	0.0685626 	-224.180192942 	-102.815179628 	-106.766523552 	-85.450994472
-755.29 	0.02282925 	-223.825250684 	-102.836538168 	-106.81125 	-85.441851792
-755.29 	0.1598796 	-224.002867162 	-102.793821088 	-106.78146492 	-85.460137152
-755.29 	0.1598796 	-223.914204272 	-102.77239252 	-106.84103508 	-85.441851792
-755.29 	0.0456585 	-223.914204272 	-102.72967544 	-106.81125 	-85.450994472
-755.29 	0.1598796 	-224.002867162 	-102.836538168 	-106.79635746 	-85.450994472
-755.29 	0.13705035 	-224.180192942 	-102.815179628 	-106.78146492 	-85.487595168
-755.29 	0.09139185 	-224.35780942 	-102.793821088 	-106.81125 	-85.460137152
-755.29 	0.13705035 	-224.268855832 	-102.815179628 	-106.82614254 	-85.450994472
-755.29 	0.1598796 	-223.914204272 	-102.77239252 	-106.84103508 	-85.423536456
-755.29 	0.18270885 	-223.559262014 	-102.77239252 	-106.79635746 	-85.432709112
-755.29 	0.18270885 	-223.647924904 	-102.815179628 	-106.855976448 	-85.441851792
-755.29 	0.0685626 	-223.736587794 	-102.836538168 	-106.84103508 	-85.450994472
-755.29 	0.0685626 	-223.914204272 	-102.77239252 	-106.82614254 	-85.478422512
-755.29 	0.13705035 	-223.736587794 	-102.77239252 	-106.81125 	-85.441851792
-755.29 	0.1598796 	-224.002867162 	-102.836538168 	-106.84103508 	-85.469279832
-755.29 	0.02282925 	-223.470599124 	-102.815179628 	-106.870868988 	-85.515023208
-755.29 	0.1142211 	-223.736587794 	-102.879255248 	-106.766523552 	-85.450994472
-755.29 	0.2284422 	-224.091530052 	-102.793821088 	-106.84103508 	-85.441851792
-755.29 	0.1142211 	-224.180192942 	-102.815179628 	-106.84103508 	-85.414393776
-755.29 	0.0456585 	-223.914204272 	-102.857896708 	-106.84103508 	-85.460137152
-755.29 	0.13705035 	-223.914204272 	-102.836538168 	-106.79635746 	-85.460137152
-755.29 	0.0685626 	-224.002867162 	-102.836538168 	-106.78146492 	-85.460137152
-755.29 	0.0456585 	-223.825250684 	-102.793821088 	-106.78146492 	-85.478422512
-755.29 	0.0456585 	-223.736587794 	-102.793821088 	-106.855976448 	-85.450994472
-755.29 	0.1142211 	-223.914204272 	-102.857896708 	-106.766523552 	-85.469279832
-755.29 	0.0456585 	-223.736587794 	-102.793821088 	-106.78146492 	-85.432709112
-755.29 	0.09139185 	-223.914204272 	-102.793821088 	-106.81125 	-85.432709112
-755.29 	0.1142211 	-224.002867162 	-102.815179628 	-106.82614254 	-85.460137152
-755.29 	0.09139185 	-224.091530052 	-102.793821088 	-106.84103508 	-85.423536456
-755.29 	0.13705035 	-223.736587794 	-102.815179628 	-106.855976448 	-85.450994472
-755.29 	0.09139185 	-224.091530052 	-102.836538168 	-106.82614254 	-85.450994472
-755.29 	0.09139185 	-223.914204272 	-102.815179628 	-106.81125 	-85.505880528
-755.29 	0.09139185 	-224.44647231 	-102.836538168 	-106.870868988 	-85.432709112
-755.29 	0.0 	-223.825250684 	-102.75103398 	-106.79635746 	-85.377823056
-755.29 	0.1142211 	-224.091530052 	-102.793821088 	-106.885761528 	-85.441851792
